nombre,codigo,descripcion,url
Esmalte De Unas,NATCHL-106535,• acabado cremoso | • esmalte con alta cobertura y secado rápido | • proporciona un look vibrante y moderno | • fácil de aplicar | • uñas increíbles con practicidad y estilo | • uñas fuertes y resistentes | • brillo increíble | • vegano | • fórmula hipoalergénica | • edad sugerida: a partir de 18 años | • hipoalergénico | • cruelty free,https://www.natura.cl/p/faces-esmalte-pink-rio/NATCHL-106535
Repuesto agua micelar Chronos,NATCHL-134588,"• limpieza suave antes y después del maquillaje | • desmaquilla sin enjuague | • elimina impurezas, exceso de grasa y residuos de contaminación | • calma la piel, hidrata de inmediato y a lo largo del día | • contiene bioactivo: candeia, que calma la piel | • testado dermatológicamente | • apto para la zona de los ojos | • edad sugerida: 18+ | • cruelty free | • vegano | • ocasión: limpieza | • tipo de piel: todo tipo de piel | • textura: líquida | • zona de aplicación: rostro y cuello | • mejor para tu piel, mejor para tu tratamiento y mejor para el medio ambiente",https://www.natura.cl/p/repuesto-agua-micelar-chronos--150-ml/NATCHL-134588
Acondicionador Hidratación y Protección Antipolución Lumina,NATCHL-147446,• nuevos envases | • más tecnología para cuidar tu cabello desde la primera aplicación | • con BioProteína de Triple Acción y Activo Antipolución | • sistema que proporciona hasta 6 veces más hidratación en el cabello | • hasta 2 veces más protección contra los radicales libres | • un paso esencial en tu ritual | • fórmula que hidrata las puntas sin apelmazar | • deja el cabello ligero y con movimiento | • para todo tipo de cabello | • disponible en repuesto | • cruelty free | • vegano | • tipo de tratamiento: hidratación y protección antipolución,https://www.natura.cl/p/acondicionador-protector-300-ml/NATCHL-147446
Spray Hidratación y Protección Antipolución Lumina 150ml,NATCHL-147434,• nuevos envases | • más tecnología para cuidar tu cabello desde la primera aplicación | • con BioProteína Triple Acción y Activo Antipolución | • sistema que proporciona hasta 7 veces más hidratación | • 2 veces más protección contra los radicales libres* | • un paso esencial en tu rutina de cuidado capilar | • fórmula con 6 beneficios en un solo producto | • tipo de cabello: todo tipo de cabello | • cruelty free (no probado en animales) | • vegano | • tipo de tratamiento: hidratación y protección antipolución,https://www.natura.cl/p/spray-protector-antipolucion-150-ml/NATCHL-147434
Esencia de Tratamiento Revitalización y luminosidad  Chronos,NATCHL-135043,"• el uso combiando con el Super sérum y el Sérum intensivo lifting y firmeza aporta hasta 2 veces más de colágeno a la piel | • hasta 94% mas vitalidad de la piel* | • hasta 95% Piel renovada* | • inmediatamente reduce la apariencia de la piel cansada | • con su uso contínuo, reduce arrugas, uniformiza la piel y activa la luminosidad natural | • esencia enriquecida con pre y posbiótico que ayuda a mantener el equilibrio de la microbiota | • potencia hasta un 50% los resultados de los sérums y activa la vitalidad celular*",https://www.natura.cl/p/esencia-de-tratamiento-revitalizacion-y-luminosidad--chronos--100-ml/NATCHL-135043
Crema Hidratante Corporal Ekos Tukumá,NATCHL-203390,"piel más firme y rellena con la potencia antiseñales del tukumá.• estimula en 77% la producción de ácido hialurónico* • piel reparada e hidratada por hasta 72 horas • hecho con aceite y manteca bruta de tukumá, que intensifican la producción de ácido hialurónico • combate los signos de envejecimiento prematuro • doble acción que rellena las capas de la piel • deja la piel más hidratada y uniforme • la línea Ekos tukumá contribuye a la regeneración de la Amazonía y fortalece los ingresos de 702 familias guardianas del bosque vinculadas a la cosecha sostenible. *resultado comprobado por prueba i",https://www.natura.cl/p/crema-hidratante-para-el-cuerpo-ekos-tukuma-400-ml/NATCHL-203390
Repuesto Polvo Compacto Nude Me Una,NATCHL-110679,"• efecto natural, como una segunda piel, sin cuartearse | • acabado mate de larga duración con efecto Nude Me | • natural, como si fuera tu propia piel, sin marcar líneas | • cobertura personalizable que disimula poros y líneas finas | • controla la luminosidad | • resistente al agua y al sudor | • dermatológicamente probado | • cruelty free | • vegano | • zona de aplicación: rostro",https://www.natura.cl/p/polvo-compacto-nude-me-repuesto-19n-10g/NATCHL-110679
Jabón liquido para manos Bothanica Ficus herb,NATCHL-139241,"no incluye bolsaJabón liquido para manos Bothanica Ficus herbLimpieza suave.Camino olfativoNotas de gálbano, pachuli y cacao.Contenido230 mlSobre la marca Bothanica:Natura Bothanica se integra en los diferentes ambientes con fragancias potentes y de larga duración. Su Arquitectura olfativa está caracterizada por notas herbales, frescas y cítricas, y presencia de amaderados.",https://www.natura.cl/p/jabon-liquido-para-manos-bothanica-ficus-herb-230-ml/NATCHL-139241
Jabón Líquido para Manos que Cocinan Bothânica Mente Sana,NATCHL-140711,"limpieza fresca con activo neutralizador de olores.• con Saccharomyces Ferment: activo que neutraliza olores desagradables de las manos, como ajo, cebolla y grasa • limpieza suave y sin agredir la piel • contiene tensioactivo a base de aminoácidos compatible con la piel • fórmula sin sulfato y 90% de origen natural • perfuma las manos con un toque herbal y verde • alta concentración de fragancia • principales ingredientes de la fragancia: menta, artemisa y anís • mezcla exclusiva de aceites esenciales latinoamericanos: estoraque y priprioca.",https://www.natura.cl/p/jabon-liquido-para-manos-que-cocinan-bothanica-mente-sana-230-ml/NATCHL-140711
Jabón Líquido para Manos que Cocinan Bothânica Cucumis Acqua,NATCHL-162012,"limpieza fresca con activo neutralizador de olores.• con Saccharomyces Ferment: activo que neutraliza olores desagradables de las manos, como ajo, cebolla y grasa • limpieza suave y sin agredir la piel • contiene tensioactivo a base de aminoácidos compatible con la piel • fórmula sin sulfato y 90% de origen natural • perfuma las manos con un toque aromático, acuoso y fresco • alta concentración de fragancia • principales ingredientes de la fragancia: pepino, romero y mandarina • mezcla exclusiva de aceites esenciales latinoamericanos: estoraque y priprioca.",https://www.natura.cl/p/jabon-liquido-para-manos-que-cocinan-bothanica-cucumis-acqua-230-ml/NATCHL-162012
